team,season,seed,win_pct,off_rtg,def_rtg,net_rtg,srs,total_playoff_games,player1vorp,player2vorp,player3vorp,player4vorp,player5vorp,player6vorp,player7vorp,player8vorp,player9vorp,champ_scr
Atlanta Hawks,2014,8,0.463,105.9,106.4,-0.5,-0.88,264,3.0,1.9,1.6,1.2,1.2,0.5,0.4,0.3,0.2,0.2
Boston Celtics,2014,12,0.305,102.9,107.7,-4.8,-4.97,327,1.0,0.5,0.5,0.4,0.3,0.3,0.3,0.2,0.1,0
Brooklyn Nets,2014,6,0.537,106.7,107.7,-1.1,-1.57,518,1.9,1.7,1.4,1.2,1.0,0.8,0.8,0.6,0.4,0.4
Charlotte Hornets,2014,7,0.524,103.6,103.8,-0.2,-0.89,180,3.0,2.4,2.3,0.6,0.4,0.3,0.3,0.2,0.0,0.2
Chicago Bulls,2014,4,0.585,102.5,100.5,2.0,1.2,478,5.2,2.0,1.8,1.7,0.6,0.6,0.3,0.0,-0.1,0.2
Cleveland Cavaliers,2014,10,0.402,104.2,107.7,-3.5,-3.86,178,3.3,1.6,1.6,1.4,1.1,0.3,0.1,0.0,0.0,0
Dallas Mavericks,2014,8,0.598,111.2,108.7,2.5,2.91,416,4.7,2.4,1.6,1.5,1.3,1.3,0.7,0.5,0.3,0.2
Denver Nuggets,2014,11,0.439,106.0,108.2,-2.2,-1.4,195,2.5,1.6,1.6,0.6,0.6,0.5,0.5,0.4,0.2,0
Detroit Pistons,2014,11,0.354,105.9,109.7,-3.8,-4.13,238,2.3,1.4,1.4,0.8,0.3,0.1,0.1,0.0,0.0,0
Golden State Warriors,2014,6,0.622,107.5,102.6,5.0,5.15,289,6.7,2.2,2.2,2.0,1.9,1.8,0.6,0.4,0.2,0.2
Houston Rockets,2014,4,0.659,111.0,106.3,4.7,5.06,217,5.3,2.6,2.3,2.2,1.2,0.9,0.7,0.5,0.5,0.2
Indiana Pacers,2014,1,0.683,104.1,99.3,4.7,3.63,417,5.0,2.9,2.3,2.2,1.0,0.4,0.4,0.2,0.2,0.6
Los Angeles Clippers,2014,3,0.695,112.1,104.8,7.2,7.27,464,5.8,4.7,3.3,1.9,1.8,0.9,0.8,0.2,0.2,0.4
Los Angeles Lakers,2014,14,0.329,104.2,110.6,-6.4,-5.33,592,1.5,1.2,0.7,0.6,0.5,0.3,0.2,0.1,0.1,0
Memphis Grizzlies,2014,7,0.61,106.3,104.6,1.7,2.18,537,3.6,2.5,1.6,1.5,1.3,1.0,1.0,0.5,0.3,0.2
Miami Heat,2014,2,0.659,110.9,105.8,5.2,4.15,1043,7.9,2.2,1.8,1.2,1.1,0.8,0.7,0.4,0.3,0.8
Milwaukee Bucks,2014,15,0.183,103.0,111.8,-8.8,-8.41,136,0.9,0.7,0.4,0.1,0.1,0.1,-0.1,-0.2,-0.2,0
Minnesota Timberwolves,2014,10,0.488,108.9,106.2,2.7,3.1,152,7.7,2.1,1.3,1.2,1.1,0.5,0.4,0.2,0.0,0
New Orleans Pelicans,2014,12,0.415,107.2,110.1,-2.9,-1.98,57,4.0,1.3,0.8,0.7,0.7,0.6,0.4,0.4,0.1,0
New York Knicks,2014,9,0.451,108.3,109.1,-0.9,-1.4,587,5.3,1.1,0.9,0.8,0.4,0.3,0.3,0.2,0.1,0
Oklahoma City Thunder,2014,2,0.72,110.5,103.9,6.6,6.66,700,9.6,2.7,2.5,1.2,0.9,0.8,0.5,0.4,0.2,0.6
Orlando Magic,2014,13,0.28,101.7,107.4,-5.7,-5.88,149,1.1,1.0,0.8,0.6,0.5,0.5,0.3,0.2,-0.2,0
Philadelphia 76ers,2014,14,0.232,99.4,109.9,-10.4,-10.66,84,1.3,0.9,0.0,0.0,0.0,0.0,0.0,-0.3,-0.3,0
Phoenix Suns,2014,9,0.585,109.5,106.7,2.7,3.02,162,4.0,2.0,1.9,1.8,1.6,1.6,1.6,0.3,0.2,0
Portland Trail Blazers,2014,5,0.659,111.5,107.4,4.2,4.44,114,4.0,3.9,2.7,2.7,2.1,0.7,0.1,0.0,-0.1,0.4
Sacramento Kings,2014,13,0.341,105.7,108.8,-3.1,-2.08,196,4.2,3.2,2.4,0.1,0.1,0.0,0.0,-0.1,-0.2,0
San Antonio Spurs,2014,1,0.756,110.5,102.4,8.1,8.0,868,3.5,2.9,2.4,2.3,2.2,1.7,1.6,1.5,0.8,1
Toronto Raptors,2014,3,0.585,108.8,105.3,3.5,2.55,121,4.8,2.8,1.5,1.0,1.0,0.7,0.5,0.4,0.1,0.2
Utah Jazz,2014,15,0.305,103.5,111.3,-7.8,-6.26,176,2.0,1.2,0.9,0.7,0.3,0.3,-0.1,-0.1,-0.1,0
Washington Wizards,2014,5,0.537,106.0,104.6,1.3,0.48,293,3.6,3.0,1.8,1.0,0.9,0.9,0.7,0.7,0.2,0.4
Atlanta Hawks,2015,1,0.732,108.9,103.1,5.8,4.75,381,3.6,3.3,3.0,2.8,2.0,0.8,0.4,0.3,0.2,0.6
Boston Celtics,2015,7,0.488,104.7,104.5,0.2,-0.4,139,2.3,1.3,1.2,1.0,1.0,0.9,0.8,0.7,0.6,0.2
Brooklyn Nets,2015,8,0.463,104.4,107.4,-3.1,-3.13,256,1.6,1.3,1.2,1.1,0.9,0.5,0.2,0.1,0.1,0.2
Charlotte Hornets,2015,11,0.402,100.1,103.5,-3.4,-3.44,205,2.3,1.8,0.6,0.6,0.6,0.5,0.4,0.3,0.1,0
Chicago Bulls,2015,3,0.61,107.5,104.3,3.2,2.54,434,4.2,3.7,2.1,1.8,0.9,0.7,0.6,0.5,0.2,0.4
Cleveland Cavaliers,2015,2,0.646,111.1,106.3,4.8,4.08,784,5.7,4.2,3.0,1.5,0.7,0.4,0.4,0.4,0.3,0.8
